title,viewsCount,collectionCount,commentsCount
有人在不经意间或是在世界上绝大部分人都毫不知情的情况下拯救了世界吗？,0,0,0
Glorious Leader! by Moneyhorse — Kickstarter,0,0,0
 周三了，保持呼吸，不要停。 ,0,0,0
Imperative vs Declarative,0,0,0
  2014 年度应用：Inbox by Gmail - 爱范儿 · Beats of Bits,0,0,0
Thunderspace ~ Unwind in a thunderstorm,0,0,0
5 Creative Uses of Favicons | Placeit Blog,0,0,0
How I Got My First 3 Customers,0,0,0
Functional Search ,0,0,0
Panda - Daily News and Inspiration,0,0,0
 从PingWest到“品玩”，谁改变了什么？ | PingWest品玩,0,0,0
遇见一个合适的人有多难？,0,0,0
BrainWars: Competitive brain training game Brain Wars on the App Store on iTunes,0,0,0
Connnnngratulations! This project won  China 2014 State Science and Technology Prizes ! FIRST PRIZE!!!!! · Issue #39 · iiordanov/remote-desktop-clients · GitHub,0,0,0
2014: By The Numbers — Kickstarter,1,0,0
The Travel Episodes › Multimedia Travel Storytelling,1,0,0
Philanthropy Engineering in 2014 | Palantir,1,0,0
Pocket Points,1,0,0
Apple Watch将是个大失败,1,0,0
Name that Color - Chirag Mehta : chir.ag,1,0,0
title,viewsCount,collectionCount,commentsCount
俄罗斯——雪夜中的行船-Nightar,1,0,0
Contributors to svaarala/duktape · GitHub,1,0,0
Apple - 开启一份新意,1,0,0
A Teenager’s View on Social Media — Backchannel — Medium,1,0,0
假博士，请你停止谎言！,1,0,0
"Call for the Chinese authority to stop blocking major Internet services, such as Gmail, via the Great Firewall | We the People: Your Voice in Our Government",1,0,0
谷歌眼镜死了也没啥，索尼将推出更好的继承者,1,0,0
Be My Eyes ~ Lend Your Eyes to the Blind,1,0,0
【产品体验】城觅，发现本地吃喝玩乐逛的好去处 | 青溪·札记,1,0,0
剧透：苹果发布会前爆料预览 | 极客公园,1,0,0
52 Places to Go in 2015,2,0,0
The AI Programmer's Bookshelf,2,0,0
Last Call: Hypertext Transfer  Protocol version 2 to Proposed Standard from The IESG,2,0,0
兔妮妮历险记,2,0,0
Top Ten Memory Management and Tuning Tips,2,0,0
译言精选-《绝命毒师》制毒指南,2,0,0
浏览器亚像素渲染与小数位的取舍 - 腾讯 ISUX,0,0,0
MMXIV | Best Website Designs of the Year 2014,1,0,0
为什么Ray Kurzweil的垃圾科学理论能够骗人？ ,1,0,0
Letter from Silicon Valley: “This Town Used to Think Big” | MIT Technology Review,2,0,0
title,viewsCount,collectionCount,commentsCount
App Annie Reveals The Top 9 App Trends From 2014  |  TechCrunch,2,0,0
Am I Going Down? on the App Store on iTunes,1,0,0
Early-bird Dividend,1,0,0
Netflix - 纸牌屋,3,0,0
[影片]Discovery流言終結者-射紙牌殺人？ - YouTube,1,0,0
【KrTV视频】《我是创业者》S01E06刘成城:决策力是伟大的特质 | 36氪,1,0,0
Must-See Tech Talks for Every Programmer,2,0,0
iTunes 的 App Store 中的“TheNews (iOS)”,1,0,0
迪拜有个集团要控制气候，想下雪就下雪_好奇心日报,2,0,0
谷歌学术搜索的风雨十年 | 36氪,3,0,0
[译文] 选择合适的字体的 5 条建议 ,1,0,0
"4 Myths About Apple Design, From An Ex-Apple Designer | Co.Design | business + design",3,0,0
论庞麦郎 - 豆瓣,2,0,0
掘金,4,0,0
Where do mobile numbers come from? — Benedict Evans,2,0,0
My Year in Review: 2014 | Kapeli Blog,3,0,0
Hanno's Playbook - How we sail our ship,2,0,0
国行PS4评测泄露：不锁区！_网易科技,2,0,0
Well Workouts,2,0,0
LinkedIn's Series B Pitch to Greylock: Pitch Advice for Entrepreneurs,2,0,0
title,viewsCount,collectionCount,commentsCount
为什么陈年只想做好一件白衬衫：“我曾经生产出的服装都是垃圾”-看点-虎嗅网,2,0,0
LayerVault is shutting down.,3,0,0
360又一智能硬件动作：投资两亿进军互联网路由器市场_投资资讯_投资界,4,0,0
Spot 机械狗 ,4,0,0
情人节 | 八卦古典音乐大咖之间的爱恨情仇,5,0,0
Airpnp,3,0,0
【KrTV视频】Smartisan T1白色版上手体验  | 36氪,4,0,0
2015-02-04锵锵三人行 余秀华：写诗对我来说是个很“小我”的事情-20150204锵锵三人行-凤凰视频-最具媒体价值的综合视频门户-凤凰网,5,0,0
一些关于Logecho的新动态 - L4ZY,4,0,0
Ship Your Enemies Glitter,4,0,0
"Curator - collect, organise and present images, websites and text notes on the App Store on iTunes",3,0,0
Coder: 猿，改变世界的动物！,3,0,0
"Apple Store, West Lake - About the Artist - YouTube",4,0,0
  150114 硅谷大牛们都在读什么 | 裴肖龙,4,0,0
二十一点·睡前故事 第38期《田鼠阿佛》,4,0,0
云视链/活在视频中的精彩,5,0,0
丹麦弓手惊世“复古箭术”神技  中文字幕-凤凰视频-最具媒体品质的综合视频门户-凤凰网,4,0,0
艾克斯の編碼者 · 一個偽宅级别的蒟蒻碼畜。,4,0,0
Gogoro - Introducing the world's first and only Smartscooter™,4,0,0
争移动内容入口，豌豆荚发布“Snap效率锁屏”工具整合应用内信息 | 36氪,5,0,0
title,viewsCount,collectionCount,commentsCount
ev3dev,4,0,0
mnot’s blog: HTTP/2 is Done,4,0,0
APK Downloader [Latest] Download Directly | Chrome Extension v3 (Evozi Official),5,0,0
Yik Yak - Ride the Yak,5,0,0
轻单 | 发现一个更轻的世界,5,0,0
Minary · (　･ิω･ิ)ノิ  ╰(*°▽°*)╯ (❁´▽`❁),5,0,0
微信“摇电视”功能正式对外开放_科技_腾讯网,6,0,0
超炫跑酷大片：刺客信条—在线播放—优酷网，视频高清在线观看,6,0,0
The Highlight 2014 â€” UI Animations,5,0,0
Ex-Googler: 'Tons Of Engineers' Want To Leave Google - Yahoo Finance,5,0,0
知情更识趣 - 嗨音网络,6,0,0
iTunes 的 App Store 中的“颜文字输入法 - 最强大的新生代卖萌神器”,6,0,0
Presenting FreeBSD! How We Made It Happen. | DigitalOcean,7,0,0
一篇被枪毙的演讲稿,6,0,0
HACKMIT - Oct 4 - 5,6,0,0
Nextdoor: Join the free private social network for your neighborhood,6,0,0
Dear Eleven - 绝对清晰，是风格上唯一的美,7,0,0
《风之旅人》设计师分享团队开发游戏的过程 | GamerBoom.com 游戏邦,8,0,0
设计师出马揭秘！那条很火的裙子到底是白金还是黑蓝？,7,0,0
Pick-城市潮地推荐 on the App Store on iTunes,8,0,0
title,viewsCount,collectionCount,commentsCount
CES 现场：2014 年风光进驻的苹果已经不再是智能汽车的主角_好奇心日报,6,0,0
"为艺_最纯净的音乐教育培训,拥有众多国内外顶尖音乐教育专家、带你领略各种乐器的魅力",7,0,0
用了近10年的信用卡，发起自己在坑里趴了近10年 - 听蛙居,6,0,0
谷歌回归中国了？ - 零点博客  ,8,0,0
Coming to a TV near you,8,0,0
【科幻小说】欲望之穹,9,0,0
