"text","id"
"Python 爬虫：把廖雪峰的教程转换成 PDF 电子书 - 一个程序员的微站（分享自 <a href='/n/知乎'>@知乎</a> 专栏 · 作者：<a href='/n/_zhijun'>@_zhijun</a>） <a data-url=""http://t.cn/RJXBuUC"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=https%3A%2F%2Fzhuanlan.zhihu.com%2Fp%2F25196307"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","1"
"华为路由器2W人的团队是真的吗 ???","2"
"装饰器本质上是一个 Python 函数或类，它可以让其他函数或类在不需要做任何代码修改的前提下增加额外功能，装饰器的返回值也是一个函数/类对象。它经常用于有切面需求的场景，比如：插入日志、性能测试、事务处理、缓存、权限校验等场景，装饰器是解决这类问题的绝佳设计。有了装饰器，我们就可以抽离 ???<a href=""/single?id=4074420764952642""<span class=""surl-text"">...全文</span></a>","3"
"好文 // Python 表达式 i += x 与 i = i + x 等价吗？ <a data-url=""http://t.cn/RJZFgkV"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fm.ruguoapp.com%2Fmessages%2F58983b80f0538a0015079d29"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> (via <a href='/n/即刻'>@即刻</a>) ???","4"
"Python 表达式 i += x 与 i = i + x 等价吗？ - FooFish Python表达式i+=x与i=i+x等价吗？如果你的回答是yes，那么恭喜你正确了50%，为什么说只对了一半呢？按照我们的一般理解它们俩是等价的，整数操作时两者没什么异同，但是对于列表操作，是不是也一样呢？先看下面两段代码： <a data-url=""http://t.cn/RJ74itJ"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=https%3A%2F%2Ffoofish.net%2Fiadd_add.html"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","5"
"如何看待微信小程序推出后对 App 带来的冲击？ - 回答作者: zhijun liu <a data-url=""http://t.cn/RM9DPJJ"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=http%3A%2F%2Fzhihu.com%2Fquestion%2F54646414%2Fanswer%2F140757263"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> (想看更多？下载 <a href='/n/知乎'>@知乎</a> App：<a data-url=""http://t.cn/Rt8oSLV"" href=""http://m.weibo.cn/p/index?containerid=100404711598"" ><i class=""iconimg iconimg-xs""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_appstore_default.png""></i><span class=""surl-text"">知乎</span></a> ) ???","6"
"2016年，_zhijun在掘金阅读后端和Python的文章超过了96%的人，你感受下！<a href='/n/稀土掘金'>@稀土掘金</a><a class='k' href='/k/我在掘金的2016?from=feed'>#我在掘金的2016#</a> <a data-url=""http://t.cn/RMiLksR"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=https%3A%2F%2F2016.juejin.im%2Fuser%2F55a9ded4e4b00d44e1fea627"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","7"
"阿里云的自我审查能力很强 ???","8"
"知乎专栏文章为啥找不到收藏的入口呢 <a href='/n/周源'>@周源</a> ???","9"
"真有这样的人啊？ //<a href='/n/蒋涛CSDN'>@蒋涛CSDN</a>:徐州武术看来有传人啊","10"
"我的知乎 2016 - 来和我一起探索知乎之城，回顾一年以来的数据和成就 - <a data-url=""http://t.cn/RID8du2"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=https%3A%2F%2F2016.zhihu.com%2F%23social"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> <a data-url=""http://t.cn/RID1peN"" target=""_blank"" href=""http://weibo.cn/sinaurl?u=https%3A%2F%2F2016.zhihu.com%2F%3Fstatus%3Dtower"" ><i class=""iconimg iconimg-xs""><img src=""http://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""></i><span class=""surl-text"">网页链接</span></a> ???","11"
